year,university,programme,min_fee_nzd,max_fee_nzd
2024,Massey University†,Arts; Business Studies; Law,6594,6778
2024,Massey University†,Clinical Psychology; Design; Science,7547,7547
2024,Massey University†,Computing,8032,8032
2024,Massey University†,Nursing; Agriculture/Horticulture; Architecture; Medical Laboratory Science; Quantity Surveying,8011,10648
2024,Massey University†,Engineering; Technology; Aviation; Priority Engineering,8372,10648
2024,Massey University†,Veterinary Science,14006,14006
2024,Massey University†,Teacher Education,6251,6251
2024,Victoria University of Wellington†,Humanities and Social Sciences; Education,6174,6174
2024,Victoria University of Wellington†,Music (see New Zealand School of Music),7813,7813
2024,Victoria University of Wellington†,Health,7591,7591
2024,Victoria University of Wellington†,Midwifery,8593,8593
2024,Victoria University of Wellington†,Commerce and Administration; Law,7263,7263
2024,Victoria University of Wellington†,Mathematics and Statistics,6788,6788
2024,Victoria University of Wellington†,Design; Psychology; Computer Science,7716,7716
2024,Victoria University of Wellington†,Architecture,8584,8584
2024,Victoria University of Wellington†,Chemical; Physical; Biological and Earth Sciences,7798,7798
2024,Victoria University of Wellington†,Engineering,9093,9093
2024,University of Canterbury†,"Arts, Communications and Media, Humanities and Education",6748,6748
2024,University of Canterbury†,"Business, Accountancy, Finance and Law",7142,7142
2024,University of Otago†,Arts; Languages; Theology; Mathematics; Education,6545,6545
2024,University of Otago†,Commerce; Teaching,6250,6250
2024,University of Otago†,Law,7302,7302
2024,University of Otago†,Computer Science; Design; Geography; Information Science; Music; Science,7822,7822
2024,University of Otago†,Physical Education,7822,9042
2024,University of Otago†,Health Sciences; Pharmacy; Surveying,9042,9042
2024,University of Otago†,Dentistry; Medicine,17388,17388
