Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,categorykey,AcademicYear
"13 Architecture, building and planning",51135.0,2445.0,6935.0,1730.0,,62235.0,4,2020/21
"06 Agriculture, food and related studies",14005.0,1310.0,2755.0,465.0,,18535.0,5,2020/21
"26 Geography, earth and environmental studies (natural sciences)",25190.0,2160.0,4240.0,810.0,,32400.0,5,2020/21
"26 Geography, earth and environmental studies (social sciences)",10345.0,700.0,1175.0,115.0,,12330.0,5,2020/21
01 Medicine and dentistry,61550.0,3675.0,9595.0,2230.0,,77055.0,6,2020/21
02 Subjects allied to medicine,271880.0,17345.0,34255.0,10295.0,,333780.0,6,2020/21
05 Veterinary sciences,9240.0,95.0,2240.0,0.0,,11575.0,6,2020/21
22 Education and teaching,108985.0,7745.0,16255.0,3045.0,,136035.0,7,2020/21
17 Business and management,404390.0,20890.0,39340.0,10540.0,,475160.0,8,2020/21
04 Psychology,112515.0,8195.0,12190.0,2185.0,,135080.0,9,2020/21
15 Social sciences,234225.0,16485.0,25945.0,5940.0,,282600.0,9,2020/21
16 Law,119590.0,6405.0,9855.0,2290.0,,138140.0,9,2020/21
19 Language and area studies,72755.0,5695.0,12555.0,1625.0,,92635.0,9,2020/21
"20 Historical, philosophical and religious studies",68930.0,3910.0,12120.0,1025.0,,85990.0,9,2020/21
"24 Media, journalism and communications",39985.0,2525.0,4205.0,925.0,,47640.0,9,2020/21
"25 Design, and creative and performing arts",168465.0,7040.0,12405.0,2275.0,,190185.0,10,2020/21
23 Combined and general studies,28690.0,3735.0,10060.0,2050.0,,44535.0,11,2020/21
Total,2257990.0,145170.0,282875.0,61165.0,,2747200.0,99,2020/21
Total non-science CAH level 1,1256365.0,75135.0,143910.0,29840.0,,1505250.0,99,2020/21
Total science CAH level 1,1001625.0,70030.0,138960.0,31330.0,,1241950.0,99,2020/21
03 Biological and sport sciences,91565.0,10615.0,13370.0,1960.0,,117510.0,1,2021/22
07 Physical sciences,54310.0,3015.0,8805.0,1075.0,,67205.0,1,2021/22
09 Mathematical sciences,38870.0,1665.0,5970.0,635.0,,47140.0,1,2021/22
11 Computing,131065.0,9795.0,18355.0,5045.0,,164260.0,2,2021/22
10 Engineering and technology,149605.0,10010.0,22035.0,4075.0,,185725.0,3,2021/22
"13 Architecture, building and planning",52130.0,2500.0,7230.0,1765.0,,63630.0,4,2021/22
"06 Agriculture, food and related studies",15215.0,1200.0,2805.0,440.0,,19660.0,5,2021/22
"26 Geography, earth and environmental studies (natural sciences)",25085.0,2125.0,5240.0,765.0,,33220.0,5,2021/22
"26 Geography, earth and environmental studies (social sciences)",10190.0,725.0,1170.0,140.0,,12225.0,5,2021/22
01 Medicine and dentistry,64770.0,3740.0,10655.0,2500.0,,81665.0,6,2021/22
02 Subjects allied to medicine,296070.0,18005.0,36370.0,10900.0,,361340.0,6,2021/22
05 Veterinary sciences,9745.0,120.0,2275.0,0.0,,12140.0,6,2021/22
22 Education and teaching,107530.0,7700.0,17870.0,2885.0,,135980.0,7,2021/22
17 Business and management,450245.0,22710.0,45020.0,12610.0,,530580.0,8,2021/22
04 Psychology,116475.0,8720.0,13025.0,2205.0,,140425.0,9,2021/22
15 Social sciences,238075.0,15140.0,27060.0,5955.0,,286225.0,9,2021/22
16 Law,120920.0,8835.0,10230.0,2325.0,,142315.0,9,2021/22
19 Language and area studies,68300.0,5150.0,12825.0,1525.0,,87800.0,9,2021/22
"20 Historical, philosophical and religious studies",65845.0,3845.0,12410.0,980.0,,83085.0,9,2021/22
"24 Media, journalism and communications",39920.0,2670.0,4610.0,960.0,,48155.0,9,2021/22
"25 Design, and creative and performing arts",167960.0,6830.0,13025.0,2115.0,,189930.0,10,2021/22
23 Combined and general studies,29010.0,3935.0,10880.0,3820.0,,47645.0,11,2021/22
Total,2342905.0,149045.0,301230.0,64675.0,,2857855.0,99,2021/22
Total non-science CAH level 1,1297995.0,77540.0,155100.0,33305.0,,1563945.0,99,2021/22
Total science CAH level 1,1044905.0,71505.0,146130.0,31370.0,,1293910.0,99,2021/22
03 Biological and sport sciences,92570.0,10370.0,12785.0,2030.0,,117755.0,1,2022/23
07 Physical sciences,53910.0,2755.0,8530.0,1110.0,,66305.0,1,2022/23
09 Mathematical sciences,38375.0,1560.0,5575.0,585.0,,46090.0,1,2022/23
11 Computing,147425.0,9755.0,18350.0,5170.0,,180695.0,2,2022/23
10 Engineering and technology,150900.0,9605.0,21280.0,4090.0,,185875.0,3,2022/23
"13 Architecture, building and planning",55440.0,2490.0,7190.0,1910.0,,67035.0,4,2022/23
"06 Agriculture, food and related studies",15605.0,1340.0,2480.0,380.0,,19805.0,5,2022/23
"26 Geography, earth and environmental studies (natural sciences)",25325.0,2265.0,4910.0,770.0,,33275.0,5,2022/23
"26 Geography, earth and environmental studies (social sciences)",10375.0,745.0,1060.0,145.0,,12325.0,5,2022/23
01 Medicine and dentistry,68005.0,3525.0,9985.0,2715.0,,84230.0,6,2022/23
02 Subjects allied to medicine,303995.0,19115.0,35345.0,11080.0,,369535.0,6,2022/23
05 Veterinary sciences,10050.0,140.0,2085.0,0.0,,12280.0,6,2022/23
22 Education and teaching,102905.0,8140.0,16095.0,2865.0,,130005.0,7,2022/23
17 Business and management,500955.0,26670.0,45025.0,14420.0,,587075.0,8,2022/23
04 Psychology,118035.0,8410.0,12515.0,2145.0,,141105.0,9,2022/23
15 Social sciences,237930.0,14730.0,26890.0,6035.0,,285585.0,9,2022/23
16 Law,124685.0,9420.0,9935.0,2550.0,,146595.0,9,2022/23
19 Language and area studies,66100.0,4970.0,12325.0,1515.0,,84910.0,9,2022/23
"20 Historical, philosophical and religious studies",62295.0,3885.0,11890.0,970.0,,79040.0,9,2022/23
"24 Media, journalism and communications",39995.0,2705.0,4820.0,915.0,,48435.0,9,2022/23
"25 Design, and creative and performing arts",166775.0,6545.0,13175.0,2035.0,,188535.0,10,2022/23
23 Combined and general studies,31495.0,5250.0,9990.0,4070.0,,50805.0,11,2022/23
Total,2423140.0,154385.0,292240.0,67515.0,,2937285.0,99,2022/23
Total non-science CAH level 1,1343510.0,83060.0,151205.0,35525.0,,1613300.0,99,2022/23
Total science CAH level 1,1079630.0,71325.0,141035.0,31995.0,,1323985.0,99,2022/23
03 Biological and sport sciences,89650.0,10550.0,12810.0,2125.0,,115135.0,1,2023/24
07 Physical sciences,52645.0,2785.0,8375.0,1135.0,,64940.0,1,2023/24
09 Mathematical sciences,37465.0,1675.0,5265.0,580.0,,44990.0,1,2023/24
11 Computing,158300.0,9715.0,18435.0,5410.0,,191865.0,2,2023/24
